year,access_rate,participation_unconditional,participation_conditional,n_obs
2010,0.5157329709022804,0.41645817193553064,0.807507364144147,62712
2011,0.5096474371506317,0.41411731159810883,0.8125564486567056,61968
2012,0.5040880690805037,0.4083605980876351,0.8100977252497109,61862
2013,0.5019449401941736,0.407910412397211,0.8126596758588979,62212
2014,0.5066982153899567,0.4003474152190863,0.7901101741812482,61883
2015,0.4618256034120815,0.35994381290265753,0.7793933689325664,62005
2016,0.42770471787114894,0.328519995185729,0.7681000032473325,57764
2017,0.40350522481052875,0.31358955007979783,0.7771635428687398,58682
2018,0.4130011742851232,0.3223154393593766,0.780422573658011,56794
2019,0.40185933552735864,0.3153600957516367,0.7847524441302097,57631
2020,0.4028083186505128,0.3231991898284052,0.8023647349468505,48615
2021,0.3970099098878432,0.31877060658293277,0.8029285885407413,49141
2022,0.3785761077462502,0.3023633376381841,0.7986857370324342,47663
2023,0.37839739172358555,0.2974571006597016,0.7860971221413445,45960
2024,0.38002495890079957,0.29966670383216404,0.7885447963705668,45950
